order_id,Customer ID,product_id,Quantity,Order Date,Status
5052,2037,9,1,2024-07-24,Delivered
5053,2011,12,1,2024-02-17,Returned
5054,2026,7,3,2024-08-22,Delivered
5055,2009,8,3,2024-08-30,Delivered
5056,2021,9,1,2024-08-31,Delivered
5057,2002,10,3,2024-08-02,Delivered
5058,2003,1,2,2024-12-25,Delivered
5059,2019,1,3,2024-04-26,Cancelled
5060,2040,4,4,2024-06-30,Delivered
5061,2038,12,1,2024-09-12,Returned
5062,2013,5,4,2024-11-15,Delivered
5063,2027,11,2,2024-07-11,Returned
5064,2035,11,2,2024-04-14,Returned
5065,2040,9,2,2024-04-20,Delivered
5066,2012,6,3,2024-11-17,Returned
5067,2014,4,2,2024-06-10,Delivered
5068,2009,4,1,2024-03-09,Delivered
5069,2028,2,4,2024-07-17,Returned
5070,2013,3,4,2024-12-26,Cancelled
5071,2007,1,2,2024-12-16,Returned
5072,2024,6,1,2024-12-15,Cancelled
5073,2022,11,2,2024-09-15,Delivered
5074,2002,2,1,2024-09-03,Returned
5075,2037,9,4,2024-11-10,Delivered
5076,2008,3,2,2024-04-07,Delivered
5077,2007,5,1,2024-03-21,Delivered
5078,2005,8,1,2024-12-14,Delivered
5079,2028,8,3,2024-07-19,Delivered
5080,2024,10,1,2024-04-17,Cancelled
5081,2013,1,2,2024-12-24,Delivered
5082,2024,6,4,2024-08-20,Delivered
5083,2007,3,1,2024-11-05,Delivered
5084,2026,12,2,2024-02-13,Returned
5085,2017,6,3,2024-10-26,Delivered
5086,2009,7,3,2024-03-22,Returned
5087,2028,6,2,2024-12-21,Delivered
5088,2012,12,1,2024-04-15,Delivered
5089,2007,8,1,2024-06-03,Delivered
5090,2004,10,2,2024-11-23,Delivered
5091,2022,5,2,2024-12-07,Cancelled
5092,2012,10,1,2024-07-26,Delivered
5093,2014,8,1,2024-09-20,Delivered
5094,2008,1,1,2024-10-21,Cancelled
5095,2029,5,4,2024-05-01,Returned
5096,2025,4,1,2024-01-26,Delivered
5097,2018,5,3,2024-05-12,Returned
5098,2027,9,1,2024-10-03,Cancelled
5099,2005,11,1,2024-08-15,Delivered
5100,2031,7,2,2024-03-22,Delivered
5101,2039,10,1,2024-10-04,Delivered
5102,2019,7,4,2024-09-10,Returned
5103,2034,6,3,2024-06-08,Delivered
5104,2036,5,3,2024-12-01,Cancelled
5105,2001,1,2,2024-05-31,Returned
5106,2011,11,4,2024-01-22,Cancelled
5107,2021,1,4,2024-07-18,Delivered
5108,2021,12,1,2024-10-24,Delivered
5109,2031,12,3,2024-08-07,Delivered
5110,2007,9,4,2024-01-24,Delivered
5111,2008,10,1,2024-05-05,Returned
5112,2008,8,2,2024-08-01,Delivered
5113,2010,9,1,2024-07-01,Delivered
5114,2027,3,4,2024-08-14,Returned
5115,2038,11,4,2024-05-14,Delivered
5116,2019,3,2,2024-09-28,Delivered
5117,2033,2,3,2024-09-03,Returned
5118,2018,6,3,2024-11-15,Returned
5119,2037,12,2,2024-12-16,Cancelled
5120,2013,4,2,2024-05-22,Returned
5121,2003,4,1,2024-11-30,Delivered
5122,2028,5,1,2024-05-18,Returned
5123,2015,2,3,2024-01-20,Delivered
5124,2011,11,2,2024-02-14,Cancelled
5125,2031,8,3,2024-07-10,Delivered
5126,2032,6,2,2024-06-22,Delivered
5127,2040,8,2,2024-03-02,Delivered
5128,2017,12,4,2024-08-05,Delivered
5129,2039,3,3,2024-07-07,Delivered
5130,2012,12,4,2024-10-07,Cancelled
5131,2007,10,4,2024-07-08,Delivered
5132,2006,9,4,2024-02-10,Returned
5133,2030,8,3,2024-10-17,Delivered
5134,2014,5,1,2024-02-08,Cancelled
5135,2021,8,3,2024-06-04,Delivered
5136,2021,6,3,2024-04-22,Delivered
5137,2029,12,3,2024-06-14,Delivered
5138,2030,5,3,2024-09-28,Delivered
5139,2034,12,2,2024-07-23,Delivered
5140,2002,6,3,2024-07-04,Cancelled
5141,2025,10,2,2024-07-21,Cancelled
5142,2025,6,2,2024-10-15,Returned
5143,2012,3,1,2024-10-15,Delivered
5144,2015,1,1,2024-05-24,Returned
5145,2019,10,1,2024-03-22,Cancelled
5146,2038,2,3,2024-08-04,Returned
5147,2006,6,3,2024-02-13,Cancelled
5148,2006,6,1,2024-02-23,Cancelled
5149,2007,3,4,2024-11-30,Delivered
5150,2032,4,3,2024-12-30,Delivered
5151,2022,6,3,2024-07-20,Cancelled
5152,2032,8,1,2024-03-10,Cancelled
5153,2027,1,3,2024-11-12,Delivered
5154,2030,2,1,2024-07-12,Returned
5155,2001,12,1,2024-07-04,Delivered
5156,2016,3,2,2024-08-03,Cancelled
5157,2011,11,3,2024-07-11,Delivered
5158,2034,7,3,2024-07-18,Delivered
5159,2020,8,1,2024-01-31,Delivered
5160,2012,3,1,2024-11-27,Delivered
5161,2031,10,1,2024-01-09,Delivered
5162,2012,4,3,2024-02-25,Delivered
5163,2039,4,4,2024-10-28,Returned
5164,2029,4,2,2024-09-17,Delivered
5165,2020,3,4,2024-07-25,Delivered
5166,2022,7,1,2024-09-05,Delivered
5167,2004,7,2,2024-04-23,Delivered
5168,2034,9,3,2024-07-16,Delivered
5169,2001,4,4,2024-12-02,Delivered
5170,2027,4,2,2024-08-18,Delivered
5171,2010,6,3,2024-03-21,Returned
5172,2040,11,3,2024-03-08,Returned
5173,2010,1,2,2024-09-30,Delivered
5174,2009,3,1,2024-04-14,Delivered
5175,2034,10,1,2024-05-18,Delivered
5176,2006,8,3,2024-12-21,Delivered
5177,2013,7,1,2024-04-06,Delivered
5178,2035,1,4,2024-04-16,Returned
5179,2020,3,3,2024-09-10,Delivered
5180,2036,2,3,2024-07-26,Delivered
5181,2005,12,3,2024-12-07,Delivered
5182,2007,3,4,2024-12-17,Cancelled
5183,2008,12,4,2024-08-24,Delivered
5184,2031,12,2,2024-07-12,Delivered
5185,2030,2,1,2024-10-15,Cancelled
5186,2010,10,3,2024-04-15,Cancelled
5187,2020,9,3,2024-07-11,Delivered
5188,2006,11,3,2024-10-11,Delivered
5189,2008,7,3,2024-04-12,Delivered
5190,2031,10,3,2024-05-20,Delivered
5191,2007,2,2,2024-07-14,Returned
5192,2012,3,2,2024-02-18,Delivered
5193,2030,1,1,2024-07-24,Delivered
5194,2011,1,1,2024-04-26,Delivered
5195,2022,2,4,2024-07-27,Returned
5196,2014,11,2,2024-03-12,Cancelled
5197,2022,8,4,2024-07-16,Returned
5198,2026,12,3,2024-01-08,Delivered
5199,2034,10,1,2024-12-04,Delivered
5200,2022,4,3,2024-06-18,Cancelled
5201,2036,2,4,2024-08-13,Delivered
5202,2019,6,1,2024-09-17,Returned
5203,2035,5,3,2024-03-22,Returned
5204,2040,6,2,2024-04-29,Returned
5205,2013,9,1,2024-04-11,Cancelled
5206,2006,4,2,2024-12-03,Delivered
5207,2027,10,3,2024-09-01,Delivered
5208,2018,6,4,2024-02-16,Delivered
5209,2009,12,2,2024-08-19,Returned
5210,2036,9,1,2024-10-05,Returned
5211,2022,3,2,2024-05-15,Delivered
5212,2024,5,2,2024-01-02,Returned
5213,2012,3,1,2024-07-04,Delivered
5214,2012,7,2,2024-01-17,Delivered
5215,2025,12,1,2024-12-09,Delivered
5216,2030,7,1,2024-04-12,Delivered
5217,2008,7,4,2024-09-27,Delivered
5218,2009,9,3,2024-06-21,Delivered
5219,2004,6,1,2024-10-17,Cancelled
5220,2026,3,4,2024-12-09,Returned
5221,2023,8,4,2024-02-22,Returned
5222,2027,10,3,2024-12-18,Delivered
5223,2027,12,4,2024-08-25,Delivered
5224,2034,2,3,2024-10-16,Returned
5225,2027,7,1,2024-09-23,Delivered
5226,2040,5,4,2024-01-28,Cancelled
5227,2021,10,3,2024-07-11,Returned
5228,2008,4,4,2024-02-05,Delivered
5229,2004,7,4,2024-09-14,Cancelled
5230,2016,9,3,2024-02-23,Cancelled
5231,2005,4,3,2024-07-21,Returned
5232,2011,10,2,2024-08-03,Cancelled
5233,2008,10,1,2024-08-03,Delivered
5234,2008,3,4,2024-09-23,Delivered
5235,2020,4,1,2024-05-31,Delivered
5236,2029,2,4,2024-03-29,Returned
5237,2023,3,2,2024-07-22,Delivered
5238,2030,1,3,2024-06-05,Delivered
5239,2010,8,4,2024-06-15,Delivered
5240,2004,5,2,2024-04-13,Delivered
5241,2002,8,2,2024-06-30,Cancelled
5242,2013,9,2,2024-12-23,Delivered
5243,2007,11,3,2024-01-26,Cancelled
5244,2027,5,2,2024-06-09,Delivered
5245,2027,8,1,2024-12-22,Delivered
5246,2008,5,2,2024-04-24,Delivered
5247,2016,12,3,2024-04-02,Delivered
5248,2034,11,1,2024-07-09,Returned
5249,2020,4,2,2024-09-21,Cancelled
5250,2009,5,1,2024-04-25,Delivered
5251,2034,8,1,2024-02-09,Returned
5252,2039,1,3,2024-01-24,Returned
5253,2037,7,1,2024-05-08,Delivered
5254,2016,4,2,2024-05-25,Delivered
5255,2012,1,2,2024-10-07,Delivered
5256,2038,8,4,2024-11-14,Delivered
5257,2012,1,1,2024-09-12,Returned
5258,2021,6,4,2024-11-26,Delivered
5259,2033,5,2,2024-09-21,Returned
5260,2039,2,4,2024-03-25,Delivered
5261,2036,8,3,2024-12-08,Cancelled
5262,2032,5,2,2024-04-30,Returned
5263,2017,8,1,2024-11-04,Delivered
5264,2004,12,4,2024-11-01,Delivered
5265,2039,3,1,2024-06-15,Returned
5266,2033,7,4,2024-09-11,Cancelled
5267,2005,1,1,2024-05-14,Delivered
5268,2035,11,2,2024-10-18,Returned
5269,2020,1,4,2024-03-15,Delivered
5270,2040,6,3,2024-12-22,Returned
5271,2033,2,2,2024-09-12,Delivered
5272,2011,4,4,2024-05-10,Cancelled
5273,2030,10,1,2024-12-03,Delivered
5274,2024,8,2,2024-07-29,Cancelled
5275,2032,3,2,2024-01-22,Delivered
5276,2003,9,1,2024-08-21,Delivered
5277,2010,9,1,2024-07-28,Delivered
5278,2031,5,4,2024-10-11,Delivered
5279,2040,11,2,2024-01-18,Delivered
5280,2036,2,2,2024-05-09,Delivered
5281,2015,2,3,2024-08-24,Delivered
5282,2014,10,1,2024-06-21,Delivered
5283,2004,10,3,2024-07-25,Returned
5284,2012,10,4,2024-12-21,Delivered
5285,2025,7,1,2024-04-19,Delivered
5286,2016,6,2,2024-08-02,Returned
5287,2014,8,4,2024-03-24,Delivered
5288,2020,8,4,2024-10-31,Delivered
5289,2012,11,4,2024-09-07,Delivered
5290,2027,7,1,2024-10-03,Delivered
5291,2024,5,3,2024-12-19,Returned
5292,2012,9,3,2024-01-10,Returned
5293,2014,10,3,2024-07-20,Delivered
5294,2010,1,3,2024-07-03,Delivered
5295,2008,12,1,2024-05-03,Delivered
5296,2006,8,4,2024-07-15,Delivered
5297,2004,9,3,2024-05-11,Delivered
5298,2032,4,1,2024-11-07,Delivered
5299,2039,9,2,2024-03-18,Delivered
5300,2027,5,4,2024-04-16,Delivered
